TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative,extent,Non_SOV
Town Center,Not Adopted,Bethany,0,1,1,0,0,2,0,1,0,0,0,2,1,0,8,0,0,0,0,1,1,6.60%,9.30%,9.90%,14.90%,13.50%,45.80%,3.90%,10.60%,7.70%,14.10%,13.20%,50.50%,1416,1.91,90721,42.7,62.00%,13.4,7.7,2.2,698,52,106,815,238,122,31717,2.86,100641,36.7,70.40%,10.3,3.8,0.5,13840,31,3069,11528,1635,4.69,1.02,3.53,2.75,3.85,2.17,1.8,46.35,31,54,15,"The Bethany Town Center is located in northern Washington County, along Bethany Road. The area, in unincorporated Washington County, has no direct highway access and is not serviced by any ODOT facilities. The center is primarily a local retail shopping destination and multi-family housing location. It has 1,641 residents, 649 employees and 868 dwelling units. Bethany Town Center contains 122 gross acres.","-122.847085,45.550578,-122.829109,45.558314",57%
Town Center,Adopted,Cedar Mill,0,2,0,0,0,2,0,2,0,0,3,4,8,0,8,2,1,0,0,1,1,10.70%,25.60%,14.50%,17.40%,14.20%,17.70%,6.30%,14.90%,11.00%,16.60%,15.70%,35.50%,4003,1.94,48924,32.3,31.20%,12.7,8.2,1.2,1817,33,315,2570,385,358,32411,2.47,76384,37.6,58.50%,8.3,3.7,0.3,6109,29,3901,14045,1272,4.47,1.55,1.81,2.13,2.12,1.82,1.41,30.41,32,56,12,"The Cedar Mill Town Center is located north of Highway 26, along Cornell Road in unincorporated Washington County. The center is accessed by two major arterials, Cornell and Murray roads, and is not served by any ODOT facilities. The area is characterized by single-family housing and local retail shopping. It has 3,185 residents, 1,476 employees and 1,735 dwelling units. Cedar Mill Town Center contains 338 gross acres.","-122.822116,45.51962,-122.795338,45.531118",53%
Town Center,Not Adopted,Cornelius,0,3,1,0,0,0,0,3,0,0,1,1,6,1,6,0,1,1,1,1,2,16.80%,24.60%,16.30%,18.00%,7.00%,17.30%,12.30%,21.10%,16.70%,22.00%,11.00%,16.90%,2073,3.2,41652,32.6,57.20%,9.6,3.2,0.7,638,16,215,690,148,282,15275,3.37,49806,32.3,65.60%,4.1,1.3,1.3,25237,6,3752,4713,5060,4.71,1.53,3.54,2.01,2.79,1.99,2.91,45.13,44,29,27,"The Cornelius Town Center is located along Highway 8, in downtown Cornelius, between downtown Hillsboro and Forest Grove. The center has no major interstate access, but is served by one ODOT facility, Southwest Tualatin Valley Highway (State Highway 8). One frequent service bus line runs along Highway 8, with a connection to Hillsboro and the MAX line. The center has 1,864 residents, 352 employees and 722 dwelling units. Cornelius Town Center contains 282 gross acres.","-123.064867,45.518672,-123.043222,45.527023",54%
Town Center,Not Adopted,Damascus,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,8.10%,6.50%,6.50%,21.00%,14.50%,43.50%,4.20%,6.70%,8.60%,15.80%,19.30%,45.40%,166,2.63,87097,48.1,86.40%,0.8,0.3,0.3,426,6,214,66,68,236,3779,2.81,92456,48.1,85.90%,1,0.4,0.8,11352,4,3704,1395,2905,1,1,1.06,1.07,1.15,1.15,1,2.54,50,19,31,"The Damascus Town Center is located in the southeastern portion of the region. The city, incorporated in 2004, has adopted a comprehensive plan but still has low-density rural zoning in place. The new plan calls for Damascus Town Center to relocate. The Damascus center has no direct access to the interstate system, but is bisected by the ODOT facility State Highway 212. The center has no transit service available. Damascus has 263 residents, 555 employees and 88 dwelling units. Damascus Town Center contains 236 gross acres.","-122.47064,45.413759,-122.449501,45.421475",43%
Town Center,Adopted,Fairview,0,3,0,0,0,0,0,1,0,1,0,1,2,0,3,2,0,0,1,1,1,14.70%,20.90%,14.10%,19.50%,11.20%,19.50%,13.70%,21.80%,14.60%,20.80%,12.00%,17.00%,2198,2.63,50248,30.8,50.00%,9.2,3.7,0.8,1078,23,240,880,184,287,25122,2.74,49765,33.7,50.40%,7.3,2.8,0.2,4051,15,3443,9589,854,4.66,1.42,3.83,2.09,2.68,1.48,1.99,40.43,74,14,13,"The Fairview/Wood Village Town Center is a combination of two local jurisdictions, located south of Interstate 84 at the intersection of Halsey Avenue and Fairview Road. The town center has direct access to I-84 and is serviced by the major arterials of Halsey and Glisan streets, but is not served by any major ODOT facilities. Both Wood Village and Fairview are serviced by two bus lines, one of which is a frequent service route. The center has 2,199 residents, 755 employees and 813 dwelling units. Fairview/Wood Village Town Center contains 287 gross acres.","-122.446038,45.527819,-122.426001,45.536372",53%
Town Center,Not Adopted,Forest Grove,1,1,2,2,0,1,3,1,1,0,0,3,1,0,9,2,0,1,1,1,4,15.60%,18.10%,16.30%,21.30%,11.90%,16.90%,16.40%,21.90%,12.30%,19.10%,12.40%,18.00%,686,3.59,50000,26.4,48.00%,7.8,1.9,1.7,764,25,88,171,146,107,15967,2.64,49103,31.9,45.50%,5.7,2.2,0.5,7817,11,2783,6108,1514,4.28,1.7,3.48,2.6,3.75,3.07,2.81,52.93,N/A,N/A,N/A,"The Forest Grove Town Center is located on the far western edge of the region. The town center functions as the cultural and commercial heart of the town and is the home of Pacific University, which adds a student population. It has no major interstate access but is directly accessed by the ODOT facility State Highway 8. One frequent service bus line runs along Highway 8 with a connection to Hillsboro and the MAX line. The center has 991 residents (not counting students), 1,326 employees and 460 dwelling units. Forest Grove Town Center contains 107 gross acres.","-123.116649,45.517389,-123.104897,45.524368",53%
Town Center,Not Adopted,Gladstone,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,1,1,1,1,9.30%,22.00%,18.70%,22.00%,16.30%,11.80%,12.00%,20.20%,14.90%,20.30%,17.20%,15.40%,643,2.61,50000,38.5,48.30%,11.5,4.7,1.5,423,29,56,263,86,85,15498,2.49,52439,39.9,54.20%,6.6,2.8,1.2,14278,17,2339,6508,2876,5,2.15,4.31,2.35,3.56,2.06,3.46,57.37,6,29,65,"The Gladstone Town Center is located along the former street car line on Portland Avenue. Gladstone has no direct interstate access but has one ODOT facility, McLoughlin Boulevard, located a half mile west of the town center. The center is serviced by two bus lines and a grid street network pattern, encouraging pedestrian connectivity from the surrounding neighborhood to the main street. The center has 939 residents, 289 employees and 342 dwelling units. Gladstone Town Center contains 85 gross acres.","-122.599755,45.377292,-122.591344,45.385895",51%
Town Center,Not Adopted,Happy Valley,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,1,0,0,5.90%,8.80%,5.90%,11.80%,17.60%,50.00%,5.80%,12.00%,8.50%,16.50%,16.80%,40.40%,96,2.74,100000,36.7,86.10%,0.5,0.2,0.2,224,13,185,36,40,212,11382,2.94,83843,36.7,75.40%,3.1,1.1,0.5,9614,10,3632,4018,1983,2.42,1,3.42,1.27,2.02,1.32,1.26,21.13,65,32,4,"The Happy Valley Town Center has relocated since the 2009 State of the Centers report to the intersection of Southeast 162nd Avenue and Sunnyside Road. It is the retail and government center of Happy Valley and is served by a limited service bus line along Sunnyside Road. There are no ODOT facilities within the town center. The center has 500 residents, 400 employees and 244 dwelling units. Happy Valley Town Center contains 212 gross acres.","-122.503929,45.424771,-122.480514,45.430129",55%
Town Center,Adopted,Hillsdale,1,1,0,0,0,2,0,2,0,0,1,2,3,0,6,1,1,1,0,1,5,8.00%,19.40%,13.70%,17.20%,10.30%,31.50%,10.20%,16.10%,12.20%,14.70%,13.70%,33.10%,1453,1.93,60759,37.1,46.20%,10,5.5,2.1,1072,42,145,795,302,181,25058,2.11,67971,39.5,53.70%,9.2,4.6,1,9310,37,2734,12467,2628,4.68,2.51,4.1,2.57,2.09,2.15,2.63,49.55,30,28,43,"The Hillsdale Town Center is located in Southwest Portland, along the Beaverton- Hillsdale Highway (State Highway 10), an ODOT-managed facility. The center includes a high school and grade school with an adjacent middle school and is serviced by multiple bus lines, one of which is frequent service. Hillsdale has 1,600 residents, 1,048 employees and 935 dwelling units. Hillsdale Town Center contains 181 gross acres.","-122.7052,45.472856,-122.688372,45.481746",56%
Town Center,Adopted,Hollywood,0,4,3,1,0,2,1,1,0,0,2,6,6,2,24,4,1,0,0,1,1,25.20%,17.00%,10.10%,17.50%,11.30%,18.80%,9.60%,16.60%,10.60%,18.30%,13.20%,31.70%,1280,1.54,45737,42.8,30.10%,18.8,13.8,8.1,3048,118,68,938,550,105,39484,2.22,66001,40.4,56.50%,17.9,8.4,1.2,8220,76,2200,18515,2713,4.29,2.81,4.16,3.06,4.67,3.41,4.13,70.02,9,87,4,"The Hollywood Town Center surrounds the intersection of Sandy Boulevard and Northeast Halsey Avenue. The area is high in employment concentrations and housing relative to its size. The center serves the local population with retail services, but also draws from the region due to the development of a concentration of specialty retail. The center has direct access to Interstate 84, is serviced by one MAX stop, and has multiple bus lines that include frequent service routes. The center has 1,100 residents, 3,030 employees and 829 dwelling units. Hollywood Town Center contains 105 gross acres.","-122.624803,45.531402,-122.614277,45.538336",55%
Town Center,Not Adopted,King City,0,0,1,0,0,1,0,2,0,0,1,4,1,0,5,1,0,0,1,0,0,12.30%,34.90%,13.30%,17.90%,6.90%,14.60%,11.70%,21.30%,11.00%,14.80%,11.00%,30.20%,478,1.23,37436,73.2,36.40%,6.3,6.3,2.2,750,40,76,481,169,94,24302,2.25,58013,43.1,57.30%,9.4,4.4,1.3,12909,25,2594,11467,3490,4.05,1.78,3.57,2.37,2.65,2.57,1.17,40.42,59,30,11,"The King City Town Center is bisected by Southwest Pacific Highway (Highway 99 West), an ODOT facility. A single frequent service bus line runs along 99W, allowing for service from King City to surrounding communities along 99W and into central Portland. The center has 465 residents, 1,075 employees and 300 dwelling units. King City Town Center contains 94 gross acres.","-122.800492,45.401164,-122.792051,45.409013",52%
Town Center,Adopted,Lake Grove,0,1,1,0,0,0,0,1,0,0,6,3,4,0,13,2,0,0,0,0,2,8.00%,19.70%,15.30%,18.20%,15.30%,23.40%,6.90%,12.70%,11.90%,16.40%,11.20%,40.90%,272,1.98,57300,43.1,50.30%,2.8,1.5,4.7,1980,43,97,147,453,118,20420,2.32,78864,44.7,62.30%,6.1,2.8,0.7,8009,33,3345,9215,2230,4.7,1.01,2.74,2.64,2.04,2.59,1.62,37.57,30,34,35,"The Lake Grove Town Center is located roughly at the intersection of Boones Ferry Road and Kruse Way. Lake Grove is serviced by two separate bus lines that allow for connectivity to downtown Lake Oswego, Portland and parts of eastern Washington County. The center has 377 residents, 2,426 employees and 234 dwelling units. Lake Grove Town Center contains 118 gross acres.","-122.731515,45.403388,-122.714944,45.418273",51%
Town Center,Adopted,Lake Oswego,2,5,3,0,0,2,0,10,0,0,3,7,5,0,26,3,0,1,1,0,0,6.80%,17.40%,15.30%,12.90%,9.10%,38.50%,7.60%,15.40%,11.50%,15.60%,12.00%,38.00%,2206,1.68,68947,51.6,37.60%,13.5,8.8,4.5,4455,68,164,1446,737,218,17765,2.18,72924,47.3,57.10%,5.4,2.6,0.1,894,26,3309,8756,415,5,1.83,2.94,2.82,2.2,2.89,2.83,49.17,39,33,28,"The Lake Oswego Town Center covers the majority of downtown and land along the Willamette River waterfront. The town center is serviced by three separate bus lines that connect to Portland and eastern Washington County. Highway 43, an ODOT facility, serves the center. The center has 2,194 residents, 2,054 employees and 1,429 dwelling units. Lake Oswego Town Center contains 218 gross acres.","-122.671113,45.410361,-122.655718,45.42561",53%
Town Center,Not Adopted,Lents,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,0,15.30%,28.00%,23.90%,18.50%,10.30%,4.10%,17.30%,22.20%,17.60%,20.90%,11.50%,10.50%,1640,2.77,38030,33.6,45.50%,18.6,7.2,1.3,426,32,88,635,113,155,34882,2.7,42611,36,51.10%,12.2,4.7,1.3,14088,23,2859,13557,3813,4.57,2.35,5,2.31,4.01,1.69,3.45,58.93,23,26,51,"The Lents Town Center is located at the intersection of Interstate 205, an ODOT facility, and Foster Road in Southeast Portland. An Interstate 205 interchange, an ODOT facility, runs through the town center, offering direct auto access. The area is serviced by two bus lines (one of which is frequent service) and the MAX Green Line with a station at Foster Road. The center has 1,653 residents, 312 employees and 636 dwelling units. Lents Town Center contains 155 gross acres.","-122.573522,45.473681,-122.556044,45.482864",56%
Town Center,Adopted,Milwaukie,0,2,2,2,0,3,0,1,0,0,3,2,4,2,12,1,0,1,1,1,8,22.20%,21.30%,14.20%,21.10%,10.40%,10.80%,14.90%,19.80%,15.80%,19.30%,11.80%,18.20%,3840,2.11,40705,40.9,35.70%,9.2,4.7,1.4,4613,27,419,1957,577,579,30355,2.21,49246,41.4,50.80%,7.5,3.6,0.7,16605,23,4045,14488,2842,4.79,1.73,2.34,2.36,2.91,1.73,2.47,41.08,23,49,27,"The Milwaukie Town Center represents the historic main street of downtown Milwaukie, the Highway 224 corridor and the surrounding residential neighborhoods in the area. The area is served by multiple bus lines, has a downtown transit center and will have a light rail station when the MAX line is continued to Milwaukie within the next 5 years. The center has 3,694 residents, 3,368 employees and 1,877 dwelling units. Milwaukie Town Center contains 579 gross acres.","-122.646695,45.436823,-122.619527,45.451752",51%
Town Center,Adopted,Murray/Scholls,0,1,0,0,0,0,0,4,0,0,0,1,2,0,3,0,0,0,0,0,0,8.20%,21.10%,19.20%,18.60%,11.10%,21.70%,7.10%,15.30%,11.90%,15.10%,12.30%,38.40%,3838,1.97,51250,33.1,42.60%,21.2,11.2,0.6,166,47,181,2025,113,204,33041,2.49,76046,36.5,58.40%,10.3,4.3,0.7,5221,29,3193,13789,2196,5,1.01,4.47,2.5,3.26,1.82,1.74,46.25,41,50,9,"The Murray/Scholls Town Center in Beaverton is located at the intersection of Murray Boulevard and Scholls Ferry Road. A mixture of single- and multi-family residential units represent the majority of land uses within the center boundaries. The center has no direct interstate or highway access and is serviced by two bus lines, one along Murray Boulevard and another along Scholls Ferry Road. The center has 2,507 residents, 47 employees and 1,322 dwelling units. Murray/ Scholls Town Center contains 204 gross acres.","-122.837363,45.426593,-122.821458,45.43856",53%
Town Center,Not Adopted,Orenco,0,0,2,0,0,1,0,0,0,1,1,1,2,1,9,0,0,0,0,0,0,3.60%,14.90%,12.10%,17.60%,14.90%,36.80%,5.50%,17.50%,12.80%,20.30%,16.40%,27.60%,2963,1.76,77210,37.3,36.50%,16.5,9.8,1.2,1268,62,180,1760,211,235,23493,2.28,65318,32.2,37.80%,6.5,3,0.6,9403,22,3609,10922,2344,4.6,1.45,4.59,2.29,3.47,1.81,2.25,48.61,72,11,17,"The Orenco Town Center in Hillsboro functions as a local retail destination and medium-density housing location. No major interstate access is available to the town center however, the major arterial of Cornell Road bisects it. The center is serviced by multiple bus lines and a MAX stop, located within its southern portion. The center has 3,200 residents, 1,175 employees and 1,910 dwelling units. Orenco Town Center contains 235 gross acres.","-122.920038,45.530245,-122.899793,45.539691",54%
Town Center,Adopted,Pleasant Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30%,8.70%,13.00%,17.40%,13.00%,43.50%,3.30%,9.80%,9.70%,19.60%,14.10%,43.50%,134,2.96,88211,36.9,63.80%,0.9,0.1,0,18,2,149,58,6,157,7501,2.97,76189,38.9,77.10%,2.4,0.6,1.3,23244,4,3190,2605,4158,3.87,1,1.5,1,1,1,1,12.9,N/A,N/A,N/A,"The Pleasant Valley Town Center in Gresham is a rural area brought into the urban growth boundary in 1998. It has no direct highway access and is serviced by Foster Road, the only major street in the center. No bus service is available in Pleasant Valley. Urban development has yet to occur with any frequency in this center. It has 31 residents, 17 employees and 14 dwelling units. Pleasant Valley Town Center contains 77 gross acres.","-122.491742,45.467756,-122.480755,45.475361",51%
