TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative
Town Center,Not Adopted,Bethany,0,0,1,0,0,2,0,0,2,0,1,2,1,0,4,1,0,0,0,1,0,3.30%,9.20%,7.70%,16.60%,14.60%,48.60%,2.30%,7.40%,8.10%,18.10%,17.20%,46.80%,"1,641",1.98,"$96,870 ",33.6,69.50%,21.4,8.1,0.63,649,50,107,868,67,122,"27,964",2.88,"$94,093 ",34.4,73.20%,9.5,3.2,0.04,1531,28,3103,9924,138,4.47,1,3.53,2.53,3.64,1.69,1.74,41.45,33,47,21,"The Bethany Town Center is located in northern Washington County, along Bethany Road. The area, in unincorporated Washington County, has no direct highway access and is not serviced by any ODOT facilities. The center is primarily a local retail shopping destination and multi-family housing location. It has 1,641 residents, 649 employees and 868 dwelling units. Bethany Town Center contains 122 gross acres."
Town Center,Adopted,Cedar Mill,0,2,0,0,0,3,0,0,4,0,3,1,3,0,15,2,0,0,0,1,1,8.30%,23.30%,27.40%,20.40%,9.50%,11.10%,4.40%,13.80%,15.10%,20.00%,14.80%,31.80%,"3,185",2.27,"$44,455 ",31.9,29.80%,15.6,5.8,0.54,1476,30,298,1735,160,338,"31,399",2.56,"$70,262 ",37.2,60.60%,10.1,3.3,0.12,7339,29,3828,12558,445,4.08,1.57,1.08,2.15,1.72,1.72,1.31,23.62,32,55,13,"The Cedar Mill Town Center is located north of Highway 26, along Cornell Road in unincorporated Washington County. The center is accessed by two major arterials, Cornell and Murray roads, and is not served by any ODOT facilities. The area is characterized by single-family housing and local retail shopping. It has 3,185 residents, 1,476 employees and 1,735 dwelling units. Cedar Mill Town Center contains 338 gross acres."
Town Center,Not Adopted,Cornelius,1,1,0,0,0,0,0,1,1,0,1,1,0,0,4,9,0,1,1,1,1,9.20%,26.50%,14.30%,22.50%,15.40%,12.10%,10.30%,16.80%,15.00%,26.40%,16.60%,14.90%,"1,864",2.95,"$50,000 ",32,62.40%,10.2,3.3,0.19,352,18,217,722,42,282,"12,124",3.13,"$56,781 ",30.8,63.30%,3.7,1.2,0.03,1721,7,3731,4427,122,4.48,1.53,2.44,1.95,2.54,1.52,2.82,36.68,46,32,22,"The Cornelius Town Center is located along Highway 8, in downtown Cornelius, between downtown Hillsboro and Forest Grove. The center has no major interstate access, but is served by one ODOT facility, Southwest Tualatin Valley Highway (State Highway 8). One frequent service bus line runs along Highway 8, with a connection to Hillsboro and the MAX line. The center has 1,864 residents, 352 employees and 722 dwelling units. Cornelius Town Center contains 282 gross acres."
Town Center,Not Adopted,Damascus,0,1,0,0,0,0,0,0,4,1,0,1,1,0,3,1,0,1,0,0,0,0.00%,0.00%,14.50%,19.40%,27.40%,38.70%,2.20%,4.60%,7.60%,25.20%,18.60%,41.80%,263,3.13,"$87,154 ",42.8,90.60%,3.8,0.4,0.2,555,7,215,88,42,236,"3,908",2.99,"$86,820 ",45,90.30%,1.3,0.4,0.02,752,4,3708,1303,68,1,1,1,1.19,1,1.38,1,2.02,48,20,33,"The Damascus Town Center is located in the southeastern portion of the region. The city, incorporated in 2004, has adopted a comprehensive plan but still has low-density rural zoning in place. The new plan calls for Damascus Town Center to relocate. The Damascus center has no direct access to the interstate system, but is bisected by the ODOT facility State Highway 212. The center has no transit service available. Damascus has 263 residents, 555 employees and 88 dwelling units. Damascus Town Center contains 236 gross acres."
Town Center,Adopted,Fairview,0,1,0,0,0,0,0,0,3,1,0,2,2,0,9,2,0,0,1,1,0,5.30%,12.60%,15.50%,28.20%,18.70%,19.70%,7.90%,15.90%,16.30%,26.90%,17.50%,15.60%,"2,199",2.5,"$63,222 ",34.5,64.20%,12.3,3.4,0.19,755,31,241,813,45,287,"19,935",2.69,"$58,309 ",33.5,56.60%,9,2.6,0.08,6940,17,2990,7832,246,4.26,1.39,3.05,2.1,2.24,1.23,1.85,32.59,79,13,8,"The Fairview/Wood Village Town Center is a combination of two local jurisdictions, located south of Interstate 84 at the intersection of Halsey Avenue and Fairview Road. The town center has direct access to I-84 and is serviced by the major arterials of Halsey and Glisan streets, but is not served by any major ODOT facilities. Both Wood Village and Fairview are serviced by two bus lines, one of which is a frequent service route. The center has 2,199 residents, 755 employees and 813 dwelling units. Fairview/Wood Village Town Center contains 287 gross acres."
Town Center,Not Adopted,Forest Grove,0,1,1,1,0,0,1,0,2,1,0,2,1,0,12,1,0,1,1,1,2,13.60%,21.10%,18.40%,23.10%,12.90%,10.90%,13.90%,18.90%,16.40%,25.40%,13.10%,12.30%,991,6.37,"$47,056 ",30.8,38.90%,26.2,5.2,0.76,1326,22,88,460,67,107,"14,269",2.65,"$50,597 ",34.1,52.80%,6.3,2,0.07,3336,10,2792,5464,198,3.88,1.7,2.96,2.61,3.75,2.33,2.78,46.43,,,,"The Forest Grove Town Center is located on the far western edge of the region. The town center functions as the cultural and commercial heart of the town and is the home of Pacific University, which adds a student population. It has no major interstate access but is directly accessed by the ODOT facility State Highway 8. One frequent service bus line runs along Highway 8 with a connection to Hillsboro and the MAX line. The center has 991 residents (not counting students), 1,326 employees and 460 dwelling units. Forest Grove Town Center contains 107 gross acres."
Town Center,Not Adopted,Gladstone,1,2,0,0,0,0,0,0,1,0,1,0,1,0,5,0,0,1,1,0,0,6.10%,18.40%,11.40%,33.90%,16.70%,13.50%,9.20%,15.50%,13.80%,27.00%,16.00%,18.50%,939,2.76,"$60,901 ",37.2,55.80%,21.7,6,0.69,289,51,57,342,39,85,"17,341",2.65,"$61,605 ",38.4,60.50%,9.6,2.7,0.12,5064,18,2342,6398,280,5,2.19,4,2.63,3.62,1.88,3.38,56.11,11,32,57,"The Gladstone Town Center is located along the former street car line on Portland Avenue. Gladstone has no direct interstate access but has one ODOT facility, McLoughlin Boulevard, located a half mile west of the town center. The center is serviced by two bus lines and a grid street network pattern, encouraging pedestrian connectivity from the surrounding neighborhood to the main street. The center has 939 residents, 289 employees and 342 dwelling units. Gladstone Town Center contains 85 gross acres."
Town Center,Not Adopted,Happy Valley,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,4.80%,6.40%,7.90%,23.30%,17.10%,40.50%,540,n/a,n/a,n/a,n/a,5.1,1.3,0.11,404,10,185,244,20,212,"9,504",2.87,"$84,206 ",36.5,80.70%,2.9,0.9,0.02,1023,8,3664,3292,87,1.87,1,2.58,1.35,1.01,1,1.13,10.47,71,20,9,"The Happy Valley Town Center has relocated since the 2009 State of the Centers report to the intersection of Southeast 162nd Avenue and Sunnyside Road. It is the retail and government center of Happy Valley and is served by a limited service bus line along Sunnyside Road. There are no ODOT facilities within the town center. The center has 500 residents, 400 employees and 244 dwelling units. Happy Valley Town Center contains 212 gross acres."
Town Center,Adopted,Hillsdale,1,0,0,1,0,1,0,1,1,0,2,2,2,0,14,2,0,1,0,1,4,8.40%,16.40%,17.70%,23.50%,11.70%,22.40%,6.90%,13.90%,15.10%,21.50%,14.40%,28.20%,"1,600",2.02,"$56,912 ",34.1,42.30%,18.3,6.5,0.77,1048,47,145,935,111,181,"22,495",2.07,"$64,800 ",39.3,55.30%,11.3,4.5,0.29,8381,43,2730,12155,801,4.18,2.5,3.57,2.5,1.96,1.98,2.67,44.13,31,54,15,"The Hillsdale Town Center is located in Southwest Portland, along the Beaverton- Hillsdale Highway (State Highway 10), an ODOT-managed facility. The center includes a high school and grade school with an adjacent middle school and is serviced by multiple bus lines, one of which is frequent service. Hillsdale has 1,600 residents, 1,048 employees and 935 dwelling units. Hillsdale Town Center contains 181 gross acres."
Town Center,Adopted,Hollywood,0,3,0,1,0,1,1,3,3,0,3,2,6,0,22,1,0,0,0,1,1,27.30%,18.90%,11.90%,18.80%,10.00%,12.90%,7.40%,15.50%,14.10%,22.20%,16.20%,24.60%,"1,100",1.35,"$38,215 ",48.3,35.90%,60.3,12.1,2.7,3031,145,69,829,185,105,"34,234",2.21,"$63,569 ",41,58.20%,22.9,8.1,0.43,16155,75,2201,17924,952,4.22,2.88,4.16,3,4.74,2.71,3.99,66.77,9,86,4,"The Hollywood Town Center surrounds the intersection of Sandy Boulevard and Northeast Halsey Avenue. The area is high in employment concentrations and housing relative to its size. The center serves the local population with retail services, but also draws from the region due to the development of a concentration of specialty retail. The center has direct access to Interstate 84, is serviced by one MAX stop, and has multiple bus lines that include frequent service routes. The center has 1,100 residents, 3,030 employees and 829 dwelling units. Hollywood Town Center contains 105 gross acres."
Town Center,Not Adopted,King City,1,1,1,0,0,1,0,1,4,1,3,3,3,0,12,1,1,0,1,0,0,9.50%,28.20%,19.30%,21.10%,8.50%,13.40%,8.00%,20.60%,16.80%,21.30%,11.80%,21.70%,465,1.35,"$44,324 ",56.9,44.30%,20.4,4,1.38,1075,53,75,302,104,94,"23,532",2.2,"$54,376 ",44.6,57.90%,10.1,4.4,0.09,2661,25,2595,11444,229,3.03,1.75,3.47,2.48,2.68,2.72,1.13,36.67,54,33,13,"The King City Town Center is bisected by Southwest Pacific Highway (Highway 99 West), an ODOT facility. A single frequent service bus line runs along 99W, allowing for service from King City to surrounding communities along 99W and into central Portland. The center has 465 residents, 1,075 employees and 300 dwelling units. King City Town Center contains 94 gross acres."
Town Center,Adopted,Lake Grove,2,0,0,0,0,0,0,4,3,0,7,0,2,0,19,1,0,0,0,0,1,10.80%,14.90%,16.50%,23.20%,7.20%,27.30%,4.50%,10.40%,12.60%,21.00%,13.10%,38.40%,377,1.95,"$56,040 ",40.2,51.20%,28.7,2.4,2.17,2426,41,98,234,212,118,"21,730",2.44,"$77,080 ",41.4,62.70%,11.3,2.7,0.29,16116,37,3338,8939,954,4.7,1.01,2.71,2.49,2.25,2.42,1.53,36.15,26,38,37,"The Lake Grove Town Center is located roughly at the intersection of Boones Ferry Road and Kruse Way. Lake Grove is serviced by two separate bus lines that allow for connectivity to downtown Lake Oswego, Portland and parts of eastern Washington County. The center has 377 residents, 2,426 employees and 234 dwelling units. Lake Grove Town Center contains 118 gross acres."
Town Center,Adopted,Lake Oswego,2,3,2,1,0,2,1,11,4,0,5,5,5,0,22,3,0,1,1,0,0,6.70%,12.20%,13.80%,22.10%,11.80%,33.40%,6.00%,12.70%,14.80%,21.70%,11.90%,33.00%,"2,194",1.69,"$67,849 ",44.5,43.00%,25.8,8.7,1.38,2054,73,165,1429,227,218,"18,436",2.26,"$67,922 ",45.2,60.10%,6.8,2.5,0.1,4175,26,3302,8301,338,5,1.86,3.98,2.63,2.45,2.48,2.85,50.96,37,24,39,"The Lake Oswego Town Center covers the majority of downtown and land along the Willamette River waterfront. The town center is serviced by three separate bus lines that connect to Portland and eastern Washington County. Highway 43, an ODOT facility, serves the center. The center has 2,194 residents, 2,054 employees and 1,429 dwelling units. Lake Oswego Town Center contains 218 gross acres."
Town Center,Not Adopted,Lents,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,9.50%,20.50%,21.10%,27.50%,15.90%,5.60%,11.50%,18.90%,18.80%,25.60%,14.60%,10.80%,"1,653",2.8,"$49,340 ",31.3,50.60%,22.2,7.2,0.33,312,33,88,636,29,155,"34,073",2.72,"$50,638 ",35.9,55.80%,13.8,4.7,0.13,5544,23,2863,13438,373,4.52,2.34,4.87,2.38,4.03,1.4,3.47,57.22,25,36,39,"The Lents Town Center is located at the intersection of Interstate 205, an ODOT facility, and Foster Road in Southeast Portland. An Interstate 205 interchange, an ODOT facility, runs through the town center, offering direct auto access. The area is serviced by two bus lines (one of which is frequent service) and the MAX Green Line with a station at Foster Road. The center has 1,653 residents, 312 employees and 636 dwelling units. Lents Town Center contains 155 gross acres."
Town Center,Adopted,Milwaukie,1,2,0,2,0,5,1,2,4,0,2,2,4,0,20,1,0,1,1,1,7,10.30%,20.00%,22.50%,19.00%,14.50%,13.80%,8.30%,16.50%,17.70%,24.00%,15.00%,18.50%,"3,694",2.07,"$48,115 ",38.3,38.60%,16.9,4.5,0.52,3368,26,418,1877,216,579,"31,373",2.24,"$57,750 ",39.8,53.00%,11.1,3.4,0.16,13393,24,4049,13923,646,4.54,1.73,3.01,2.32,2.94,1.59,2.5,41.47,23,54,23,"The Milwaukie Town Center represents the historic main street of downtown Milwaukie, the Highway 224 corridor and the surrounding residential neighborhoods in the area. The area is served by multiple bus lines, has a downtown transit center and will have a light rail station when the MAX line is continued to Milwaukie within the next 5 years. The center has 3,694 residents, 3,368 employees and 1,877 dwelling units. Milwaukie Town Center contains 579 gross acres."
Town Center,Adopted,Murray/Scholls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90%,10.90%,22.40%,27.40%,18.60%,15.90%,4.00%,9.50%,15.00%,21.00%,16.80%,33.80%,"2,507",2.02,"$57,662 ",31.1,21.90%,14.1,7.3,0.06,47,38,181,1322,10,204,"32,069",2.68,"$75,578 ",33.5,55.50%,10.8,4,0.06,2419,26,3200,12835,192,4.53,1.01,3.97,2.42,1.87,1.16,1.69,34.43,,,,"The Murray/Scholls Town Center in Beaverton is located at the intersection of Murray Boulevard and Scholls Ferry Road. A mixture of single- and multi-family residential units represent the majority of land uses within the center boundaries. The center has no direct interstate or highway access and is serviced by two bus lines, one along Murray Boulevard and another along Scholls Ferry Road. The center has 2,507 residents, 47 employees and 1,322 dwelling units. Murray/ Scholls Town Center contains 204 gross acres."
Town Center,Not Adopted,Orenco,0,0,0,0,0,0,0,0,2,1,1,2,0,0,18,2,0,0,0,0,0,0.70%,6.80%,12.10%,30.30%,20.70%,29.40%,4.30%,10.90%,13.80%,26.80%,17.50%,26.60%,"3,200",1.78,"$75,054 ",35,21.70%,24.1,10.5,0.36,1175,51,182,1909,66,235,"21,954",2.3,"$69,176 ",31.3,36.00%,9.7,2.8,0.14,13500,22,3639,10277,492,4.3,1.41,3.44,2.62,3.13,1.57,2.18,41.61,72,11,16,"The Orenco Town Center in Hillsboro functions as a local retail destination and medium-density housing location. No major interstate access is available to the town center however, the major arterial of Cornell Road bisects it. The center is serviced by multiple bus lines and a MAX stop, located within its southern portion. The center has 3,200 residents, 1,175 employees and 1,910 dwelling units. Orenco Town Center contains 235 gross acres."
Town Center,Adopted,Pleasant Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,8.30%,25.00%,25.00%,41.60%,4.80%,10.30%,12.70%,20.00%,20.60%,31.70%,31,2.21,"$89,441 ",36.3,85.70%,0.6,0.2,0,17,4,77,14,0,77,"6,968",2.78,"$76,981 ",39.4,71.00%,2.4,0.8,0.01,312,7,2982,2483,36,1.45,1,3,1,1,1,1,8.74,,,,"The Pleasant Valley Town Center in Gresham is a rural area brought into the urban growth boundary in 1998. It has no direct highway access and is serviced by Foster Road, the only major street in the center. No bus service is available in Pleasant Valley. Urban development has yet to occur with any frequency in this center. It has 31 residents, 17 employees and 14 dwelling units. Pleasant Valley Town Center contains 77 gross acres."
Town Center,Adopted,Raleigh Hills,1,1,0,0,0,0,0,3,1,0,3,1,3,0,17,0,0,0,0,0,0,11.20%,16.30%,15.90%,15.40%,11.00%,30.20%,7.60%,14.60%,14.30%,18.70%,13.30%,31.40%,"1,599",1.91,"$59,796 ",42.2,48.50%,26,7.2,1.12,1802,48,131,948,147,153,"22,587",2.26,"$67,057 ",42.7,57.10%,8.5,3.3,0.14,5187,27,3264,10659,469,4.02,1.94,2,2.85,1.91,2.22,1.09,32.25,41,44,15,"The Raleigh Hills Town Center is located at the intersection of the Beaverton- Hillsdale Highway, an ODOT facility, and Scholls Ferry Road in unincorporated Washington County, adjacent to Portland. The center is served by three separate bus lines, two of which are frequent service. It has 1,599 residents, 1,800 employees and 948 dwelling units. Raleigh Hills Town Center contains 153 gross acres."
Town Center,Adopted,Rockwood,1,2,0,0,0,2,0,4,3,0,2,0,9,1,31,1,0,0,0,1,4,20.30%,22.70%,23.10%,18.10%,8.60%,7.30%,10.90%,19.30%,18.30%,25.70%,14.30%,11.50%,"16,456",3.39,"$39,943 ",27.8,32.40%,22.7,7.6,0.21,2264,25,826,6278,170,1029,"64,143",2.74,"$51,179 ",33.6,51.10%,13.4,4.4,0.12,11882,26,5677,25075,690,4.15,1.57,3.13,2.63,2.82,1.41,1.9,37.89,33,45,22,"The Rockwood Town Center is located along the Eastside MAX line in Gresham. The center is bisected by two major arterials, Burnside and Stark streets. Two separate MAX stops are within the town center boundaries, as well as two bus lines along Stark Street and 182nd Avenue. The center has 16,456 residents, 2,264 employees and 6,278 dwelling units. Rockwood Town Center contains 1,029 gross acres."
